LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
393,07-11-2025,SRI BALAJI,COIMBATORE,1,150.0,1,Booking
394,07-11-2025,SRI JAYAM,TIRUPUR,1,150.0,1,Booking
395,07-11-2025,MUHAMMED,THRISSUR,1,200.0,1,Booking
396,07-11-2025,SUVEDA FASHION,TIRUPUR,1,100.0,1,Booking
397,08-11-2025,CLASSIC GOLD,COIMBATORE,3,360.0,2,Booking
398,08-11-2025,HSE SOFT,COIMBATORE,60,4700.0,1,Booking
399,08-11-2025,JOS ELECTRICALS,ERNAKULAM,1,250.0,1,Booking
400,08-11-2025,SAARP NON WOVEN,TIRUPUR,20,1750.0,1,Booking
500,15-11-2025,FAROOK KHAN,CALICUT,3,1650.0,1,Booking
964,05-11-2025,VALLIAMMAI DYES,TIRUPUR,13,1073.0,3,Booking
965,05-11-2025,STERLING DYE,TIRUPUR,10,330.0,3,Booking
966,05-11-2025,SUNSHINE INC,TIRUPUR,5,356.0,3,Booking
967,05-11-2025,SRI J.P COVERS,ERODE,1,140.0,3,Booking
968,05-11-2025,SUN ENTERPRISES,COIMBATORE,2,560.0,3,Booking
969,06-11-2025,MILKY MIST,ERODE,50,4500.0,3,Booking
970,06-11-2025,BARANI PRIYA,TIRUPUR,12,2072.0,3,Booking
971,06-11-2025,SRI LAKSHANA,ERODE,2,182.0,3,Booking
972,06-11-2025,VIVEKANANTHA,ERODE,15,210.0,3,Booking
973,08-11-2025,SRI GAYATHRI,TIRUPUR,1,356.0,3,Booking
974,08-11-2025,ATHARSH & CO,TIRUPUR,190,3398.0,3,Booking
975,08-11-2025,SOUTHERN ENTERPRISES,ERODE,2,336.0,3,Booking
976,08-11-2025,VIVEKANANTHA,ERODE,15,210.0,3,Booking
977,08-11-2025,VALLIAMMAI,TIRUPUR,5,460.0,3,Booking
978,11-11-2025,SRI RAM DYES,TIRUPUR,33,965.0,3,Booking
979,11-11-2025,SREE VASAA,TIRUPUR,3,512.0,3,Booking
980,11-11-2025,ABHINAV COLOURS,TIRUPUR,30,772.0,3,Booking
981,11-11-2025,TRUE WIN COLOUR,TIRUPUR,46,1028.0,3,Booking
982,11-11-2025,TOP STICKER,TIRUPUR,2,512.0,3,Booking
983,11-11-2025,HITEL CARTONS,COIMBATORE,2,560.0,3,Booking
984,12-11-2025,SRI AMMAN,ERODE,2,360.0,3,Booking
985,12-11-2025,JP DYES,TIRUPUR,15,486.0,3,Booking
986,12-11-2025,SRI VINAYAGA,TIRUPUR,15,486.0,3,Booking
987,12-11-2025,SREE ASWAT,TIRUPUR,140,2900.0,3,Booking
988,12-11-2025,SELVAM MARKETING,TIRUNELVELI,25,3500.0,3,Booking
501,15-11-2025,CEMINDIA PROJECTS,MANGALORE,13,3700.0,2,Booking
502,15-11-2025,S.K BROOMS,COCHI,1,200.0,1,Booking
