LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
1293,08-11-2025,BALAJI EXPORTS,WALLTAX,4,1500.0,1,Received
1294,08-11-2025,BABA,WALLTAX,1,350.0,1,Received
1295,08-11-2025,MAHAVEER SWEETS,WALLTAX,1,120.0,1,Received
1296,08-11-2025,BK TRADERS,WALLTAX,8,1600.0,1,Received
1297,08-11-2025,GLMT,WALLTAX,4,1200.0,1,Received
1298,08-11-2025,BRIDGE L ROPE,WALLTAX,3,840.0,1,Received
1299,08-11-2025,ASIAN TRADERS,WALLTAX,4,1200.0,1,Received
1300,08-11-2025,CKS REXINE,WALLTAX,2,500.0,1,Received
1301,08-11-2025,QUILL FORM,WALLTAX,1,150.0,1,Received
1302,08-11-2025,MAHALAXMI BOTTON,WALLTAX,4,600.0,1,Received
1303,08-11-2025,CASH BLOOMI,WALLTAX,1,400.0,1,Received
1304,08-11-2025,TAIYAB KHAN,WALLTAX,1,250.0,1,Received
1305,08-11-2025,KABIL BHAI,WALLTAX,1,250.0,1,Received
1306,08-11-2025,BRIGHT POINT,WALLTAX,2,450.0,1,Received
1307,08-11-2025,BRASS SELECTION,WALLTAX,8,2000.0,1,Received
1308,08-11-2025,NEW SR MARKETING,WALLTAX,1,300.0,1,Received
1309,08-11-2025,AI HIBA,WALLTAX,1,250.0,1,Received
1310,08-11-2025,FITNESS WORLD,WALLTAX,3,1200.0,1,Received
1311,08-11-2025,SHEENA FANCY,WALLTAX,1,500.0,1,Received
1312,08-11-2025,ABRAS NATURAL,WALLTAX,1,250.0,1,Received
1313,08-11-2025,NAAS COSMETICS,WALLTAX,6,1500.0,1,Received
1314,08-11-2025,THREAD CRAFT,WALLTAX,2,600.0,1,Received
1315,08-11-2025,AZZ ART WORLD,WALLTAX,1,300.0,1,Received
1316,08-11-2025,SHAFEEQ,WALLTAX,1,350.0,1,Received
1317,08-11-2025,KLOTH SURPLUS,WALLTAX,2,800.0,1,Received
1318,08-11-2025,GANI TRADING,WALLTAX,5,1350.0,1,Received
1319,08-11-2025,SHEENA FANCY,WALLTAX,4,2800.0,1,Received
1320,08-11-2025,SMYKKER,WALLTAX,1,250.0,1,Received
1321,08-11-2025,RAFEEK,WALLTAX,1,400.0,1,Received
1322,08-11-2025,P.S TOYS,WALLTAX,4,2800.0,1,Received
10306,21-11-2025,ASWATH INDUSTRIAL,COIMBATORE,8,1440.0,1,Received
8273,21-11-2025,INDUS MOTOR,COIMBATORE,1,400.0,1,Received
271441,21-11-2025,TRAQ TRADERS,COIMBATORE,9,2250.0,2,Received
268760,21-11-2025,PAND C PROJECTS,COIMBATORE,2,260.0,1,Received
270797,21-11-2025,UNIQUE GARMENTS,COIMBATORE,1,200.0,1,Received
271821,21-11-2025,ROYAL MARKETING,COIMBATORE,8,2000.0,1,Received
0464,21-11-2025,VEW EPS,COIMBATORE,1,150.0,1,Received
10790,21-11-2025,UMB SERVICE,COIMBATORE,1,130.0,2,Received
10354,21-11-2025,UNVIEW TECHNOLOGY,COIMBATORE,1,270.0,1,Received
10352,21-11-2025,MANJITON SPORTS,COIMBATORE,2,800.0,1,Received
272185,21-11-2025,POWER POSITIVE,COIMBATORE,5,850.0,1,Received
272194,21-11-2025,BATNA DISTRIBUTORS,COIMBATORE,4,800.0,1,Received
271213,21-11-2025,PATEL SANITARY,COIMBATORE,7,1400.0,1,Received
271192,21-11-2025,DIVA AND CO,COIMBATORE,2,200.0,1,Received
271435,21-11-2025,GLOBAL INDUSTRIAL,COIMBATORE,6,1200.0,1,Received
272336,21-11-2025,BIGFI PRINT,TIRUPUR,1,110.0,1,Received
272363,21-11-2025,EMCO CLOTHE,TIRUPUR,11,2750.0,1,Received
272461,21-11-2025,EMCO CLOTHE,TIRUPUR,3,750.0,1,Received
9599,21-11-2025,LOYAL CROWN APPARELS,TIRUPUR,3,750.0,1,Received
9608,21-11-2025,MAHAVEER POLY,TIRUPUR,1,150.0,1,Received
9610,21-11-2025,DHASARATHAN,TIRUPUR,1,120.0,1,Received
9611,21-11-2025,YAMINI SCREEN,TIRUPUR,1,120.0,1,Received
272349,21-11-2025,SRI STI GARMENTS,TIRUPUR,62,4700.0,3,Received
272435,21-11-2025,RATHI AND RATHI,TIRUPUR,1,140.0,3,Received
272438,21-11-2025,RATHI AND RATHI,TIRUPUR,7,980.0,3,Received
272441,21-11-2025,RATHI AND RATHI,TIRUPUR,2,320.0,3,Received
272445,21-11-2025,RATHI AND RATHI,TIRUPUR,3,480.0,3,Received
1606,21-11-2025,K OZONE,WALLTAX,10,3000.0,1,Received
1607,21-11-2025,CRUST N CRUM,WALLTAX,1,550.0,1,Received
1608,21-11-2025,GBROS BADA,WALLTAX,1,450.0,1,Received
1609,21-11-2025,JEEVAN,WALLTAX,3,1100.0,1,Received
1610,21-11-2025,RAJEED,WALLTAX,4,1000.0,1,Received
1611,21-11-2025,FRIENDS,WALLTAX,1,200.0,1,Received
1612,21-11-2025,SPECTRA POINT,WALLTAX,5,1000.0,1,Received
1613,21-11-2025,AM STORE,WALLTAX,2,800.0,1,Received
1614,21-11-2025,CHITAYIL,WALLTAX,24,3700.0,1,Received
1615,21-11-2025,A1 HIBA,WALLTAX,2,1600.0,1,Received
1616,21-11-2025,CITY LIGHT,WALLTAX,2,500.0,1,Received
1617,21-11-2025,JEEVAN,WALLTAX,2,550.0,1,Received
1618,21-11-2025,BHAVANI SPICES,WALLTAX,3,900.0,1,Received
1619,21-11-2025,HI FASHION,WALLTAX,2,700.0,1,Received
1620,21-11-2025,KLOTH SURPLUS,WALLTAX,4,1600.0,1,Received
1621,21-11-2025,SAFE FIRE,WALLTAX,1,250.0,1,Received
1622,21-11-2025,PRIME STEEL,WALLTAX,8,4000.0,1,Received
1623,21-11-2025,NILAM,WALLTAX,4,1400.0,1,Received
1624,21-11-2025,KM ENTERPRISES,WALLTAX,2,600.0,1,Received
1625,21-11-2025,EAGLE BROOMS,WALLTAX,1,400.0,1,Received
1626,21-11-2025,GULF,WALLTAX,2,800.0,1,Received
1627,21-11-2025,PRIME,WALLTAX,1,700.0,1,Received
1628,21-11-2025,RM SPICES,WALLTAX,5,1500.0,1,Received
1629,21-11-2025,EAGLE BROOMS,WALLTAX,2,1100.0,1,Received
1630,21-11-2025,ANISH,WALLTAX,3,900.0,1,Received
1631,21-11-2025,VARSHU IMPEX,WALLTAX,1,100.0,1,Received
1632,21-11-2025,BLUE LIGHTS,WALLTAX,2,700.0,1,Received
1633,21-11-2025,SS BEARING,WALLTAX,7,1400.0,1,Received
1634,21-11-2025,AKRUTHI INTER,WALLTAX,2,550.0,1,Received
1635,21-11-2025,BAKERS,WALLTAX,7,1890.0,1,Received
1636,21-11-2025,FOOD SKY,WALLTAX,1,270.0,1,Received
1637,21-11-2025,ADIL,WALLTAX,2,600.0,1,Received
1638,21-11-2025,DESIRE,WALLTAX,6,1700.0,1,Received
1639,21-11-2025,BRIGHT POINT,WALLTAX,1,300.0,1,Received
1640,21-11-2025,BLUE BELL,WALLTAX,1,300.0,1,Received
1641,21-11-2025,TEDESCO THREAD,WALLTAX,2,500.0,1,Received
1642,21-11-2025,GOLDEN THREAD,WALLTAX,1,400.0,1,Received
1643,21-11-2025,LUMERS,WALLTAX,2,500.0,1,Received
