source_type,lr_no,date,from_customer,to_customer,place,quantity,amount,payment_method,accounted_date,truck_no
RECEIVED,1563,20-11-2025,,DENWUD EXIM,PERUMBAVOOR,2,500.0,1,,TN 38 DK 3547
RECEIVED,1564,20-11-2025,,KRISHNA TRADERS,COIMBATORE,9,1620.0,1,,TN 38 DK 3547
RECEIVED,1565,20-11-2025,,NANDANAM TRADER,THODUPUZHA,2,500.0,1,,TN 38 DK 3547
RECEIVED,1566,20-11-2025,,JEEVAN TRADERS,CHERTHALA,3,1050.0,1,,TN 38 DK 3547
RECEIVED,1567,20-11-2025,,BHASHEED FASHION,TIRUR,1,200.0,1,,TN 38 DK 3547
RECEIVED,1568,20-11-2025,,VARIETY THREAD,TRIVANDRUM,1,250.0,1,,TN 38 DK 3547
RECEIVED,1569,20-11-2025,,GURU METAL,VADAKANCHERRY,2,800.0,1,,TN 38 DK 3547
RECEIVED,1570,20-11-2025,,DRILL AND DRIVE,EDAPPAL,8,1600.0,1,,TN 38 DK 3547
RECEIVED,1571,20-11-2025,,K.M ENTERPRISES,KANNUR,1,200.0,1,,TN 38 DK 3547
RECEIVED,1572,20-11-2025,,ASN STORES,MARTHANDAM,7,2100.0,2,,TN 38 DK 3547
RECEIVED,1573,20-11-2025,,KATTUNGAL METAL,ALAPUZHA,2,900.0,1,,TN 38 DK 3547
RECEIVED,1574,20-11-2025,,TRADE HOUSE,PAYYANUR,3,750.0,1,,TN 38 DK 3547
RECEIVED,1575,20-11-2025,,EAGLE BROOM,KANNUR,2,1100.0,1,,TN 38 DK 3547
RECEIVED,1576,20-11-2025,,KUNNAL,TIRUPUR,2,350.0,2,,TN 38 DK 3547
RECEIVED,1578,20-11-2025,,EAGLE BROOM,KANNUR,2,1100.0,1,,TN 38 DK 3547
RECEIVED,1579,20-11-2025,,SK BROOM,KOLLAM,2,1100.0,1,,TN 38 DK 3547
RECEIVED,1580,20-11-2025,,SHREE CLASS,TIRUPUR,2,400.0,1,,TN 38 DK 3547
RECEIVED,1581,20-11-2025,,SIVA ELECTICALS,TIRUPUR,1,150.0,1,,TN 38 DK 3547
RECEIVED,1582,20-11-2025,,SIVA ELECTICALS,TIRUPUR,1,400.0,1,,TN 38 DK 3547
RECEIVED,1583,20-11-2025,,LIJO,THRISSUR,1,250.0,2,,TN 38 DK 3547
RECEIVED,1584,20-11-2025,,THE COTTON,TIRUR,2,700.0,1,,TN 38 DK 3547
RECEIVED,1585,20-11-2025,,KATTUNGAL METAL,ALAPUZHA,1,300.0,1,,TN 38 DK 3547
RECEIVED,1586,20-11-2025,,AM STORE,KOTTAYAM,3,900.0,1,,TN 38 DK 3547
RECEIVED,1587,20-11-2025,,KATTUNGAL METAL,ALAPUZHA,3,2100.0,1,,TN 38 DK 3547
RECEIVED,1588,20-11-2025,,MAHA LAKSHMI,MANGALORE,5,1700.0,1,,TN 38 DK 3547
RECEIVED,1589,20-11-2025,,SINGAPORE,COIMBATORE,7,2100.0,1,,TN 38 DK 3547
RECEIVED,1591,20-11-2025,,AK BEARING,PATHANAMTHITTA,3,660.0,1,,TN 38 DK 3547
RECEIVED,1598,20-11-2025,,INFO SEWRITY,PANDIKKAD,5,1500.0,1,,TN 38 DK 3547
RECEIVED,1599,20-11-2025,,KARUNYAM,ALAPUZHA,2,900.0,1,,TN 38 DK 3547
RECEIVED,1600,20-11-2025,,FASHION CURRAINS,PATTAMBI,1,220.0,1,,TN 38 DK 3547
RECEIVED,1601,20-11-2025,,CITY LIGHTS,ETTUMANOOR,5,1400.0,1,,TN 38 DK 3547
RECEIVED,1602,20-11-2025,,SATHYA SAI,KANNUR,1,300.0,1,,TN 38 DK 3547
RECEIVED,1603,20-11-2025,,JEEVAN TRADERS,ANGAMALY,4,1400.0,1,,TN 38 DK 3547
